n_cluster,silhouette_score,davis_score,calinski_score
89,0.7499107289527865,0.03755961695490879,61570432548098.78
90,0.7523760065144588,0.03994835781813539,90666681984680.2
91,0.7501089838138437,0.0356488485483251,107969408325870.12
92,0.7478327387951944,0.02463291223622609,133891072063082.94
93,0.7423209794007284,0.025165026348344187,163635582232294.84
94,0.7381930457467791,0.026497344874803836,217889815739692.8
95,0.7392921302922857,0.027806503642580308,320960522240865.94
96,0.7314269539720768,0.02915654399646848,406324072115558.4
97,0.7297827380708041,0.011443311549703152,523153072904539.2
98,0.7285104867355281,0.012020257499525894,762119329061095.9
99,0.720231282380458,0.013181166185701922,1124472089221425.1
100,0.7112482621466555,0.014074469690569575,1373596942199567.0
101,0.7067122536201079,0.012188029149323298,1650564823466507.5
